0.0922,5.7,9.05,10.3,10.8,11.1,11.2
0.0529,13.5,22.1,24.1,24.9,25.4,25.6
0.0556,8.96,20.2,22.5,23.4,23.8,24.0
0.0514,11.2,16.1,17.6,18.3,18.6,18.7
0.0984,5.8,9.04,9.82,10.1,10.2,10.3
0.0833,7.06,11.5,13.5,14.3,14.8,15.0
0.0617,9.65,17.3,19.0,19.7,20.0,20.1
0.0995,4.6,6.97,7.81,8.15,8.33,8.43
0.0765,6.35,10.3,11.7,12.2,12.4,12.6
0.072,9.78,13.8,15.0,15.5,15.8,15.9
0.0737,8.86,14.8,16.8,17.6,18.1,18.3
0.0729,6.9,10.2,11.0,11.2,11.3,11.4
0.104,6.03,9.95,11.4,12.0,12.2,12.4
0.0923,7.25,12.0,13.5,14.1,14.3,14.5
0.0741,6.09,11.0,11.9,12.2,12.4,12.5
0.0325,29.8,30.7,30.7,30.7,30.7,30.7
0.0702,9.77,18.5,21.6,22.8,23.4,23.8
0.113,4.93,8.3,9.79,10.4,10.8,10.9
0.0906,6.24,9.21,10.2,10.5,10.7,10.8
0.0852,5.49,7.78,8.21,8.37,8.44,8.48
0.0782,7.56,12.0,13.2,13.7,13.9,14.1
0.088,7.87,12.8,14.7,15.6,16.1,16.4
0.0798,4.65,8.14,9.6,10.2,10.5,10.7
0.126,5.56,9.57,11.4,12.2,12.7,12.9
